key	what it is for / what to preserve	en (English)	am (አማርኛ)	om (Afaan Oromoo)	ti (ትግርኛ)	so (Soomaali)	sw (Kiswahili)	reviewer notes
admin.embed_copied	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Embed code copied	የመክተቻ ኮዱ ተቀድቷል	Koodiin maxxansaa garagalfameera	ናይ ምትእትታው ኮድ ተቐዲሑ	Koodhka gelinta waa la koobiyay	Msimbo wa kupachika umenakiliwa	
admin.copy_manually	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Select the text and copy it manually.	ጽሑፉን መርጠው በእጅ ይቅዱ።	Barreeffama filadhuutii harkaan garagalchi.	ነቲ ጽሑፍ መሪጽካ ብኢድ ቅዳሕ።	Dooro qoraalka oo gacanta ku koobi.	Chagua maandishi na unakili kwa mkono.	
admin.telegram_connected	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Telegram connected	Telegram ተገናኝቷል	Telegram walqabsiifameera	Telegram ተራኺቡ	Telegram waa la xiriiriyay	Telegram imeunganishwa	
admin.action_document_created	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	added an article	ጽሑፍ ጨምሯል	barruu dabale	ጽሑፍ ወሲኹ	maqaal ku daray	aliongeza makala	
admin.action_document_updated	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	edited an article	ጽሑፍ አርሟል	barruu gulaale	ጽሑፍ ኣርሚዑ	maqaal wax ka beddelay	alihariri makala	
admin.action_document_deleted	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	deleted an article	ጽሑፍ ሰርዟል	barruu haqe	ጽሑፍ ደምሲሱ	maqaal tirtiray	alifuta makala	
admin.action_documents_bulk_imported	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	imported articles	ጽሑፎችን አስገብቷል	barruulee galche	ጽሑፋት ኣእትዩ	maqaallo soo dhoofiyay	aliagiza makala	
admin.action_handoff_closed	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	closed an escalation	ጉዳይ ዘግቷል	dhimma cufe	ጉዳይ ዓጺዩ	arrin xiray	alifunga suala	
admin.action_handoff_reopened	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	reopened an escalation	ጉዳይ በድጋሚ ከፍቷል	dhimma irra deebi'ee bane	ጉዳይ ደጊሙ ከፊቱ	arrin dib u furay	alifungua tena suala	
admin.action_handoff_webhook_connected	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	connected the escalation webhook	የማሸጋገሪያ ዌብሁክ አገናኝቷል	webhook dabarsaa walqunnamsiise	ዌብሁክ ምትሕልላፍ ኣራኺቡ	ku xiray webhook-ga gudbinta	aliunganisha wavuti ya masuala	
admin.action_handoff_webhook_disconnected	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	disconnected the escalation webhook	የማሸጋገሪያ ዌብሁክ አቋርጧል	webhook dabarsaa addaan kute	ዌብሁክ ምትሕልላፍ ቆሪጹ	goynay webhook-ga gudbinta	alikatisha wavuti ya masuala	
admin.action_telegram_connected	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	connected Telegram	ቴሌግራም አገናኝቷል	Telegram walqunnamsiise	ቴሌግራም ኣራኺቡ	Telegram ku xiray	aliunganisha Telegram	
admin.action_user_created	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	added a colleague	ባልደረባ ጨምሯል	hojjetaa dabale	መሳርሕቲ ወሲኹ	shaqaale ku daray	aliongeza mwenzake	
admin.action_user_disabled	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	disabled an account	መለያ አሰናክሏል	herrega dhaabe	ሕሳብ ዓጊቱ	xisaab demiyay	alizima akaunti	
admin.action_user_enabled	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	restored an account	መለያ መልሷል	herrega deebise	ሕሳብ መሊሱ	xisaab soo celiyay	alirejesha akaunti	
admin.action_admin_login	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	signed in	ገብቷል	seene	ኣትዩ	gashay	aliingia	
admin.action_password_changed	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	changed their password	የይለፍ ቃል ቀይሯል	jecha darbii jijjiire	መሕለፊ ቃል ቀዪሩ	beddelay furihiisa	alibadilisha nenosiri lake	
admin.nothing_yet	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Nothing yet.	እስካሁን ምንም የለም።	Ammaaf homaa hin jiru.	ክሳብ ሕጂ ዋላ ሓደ የለን።	Weli waxba ma jiraan.	Bado hakuna.	
admin.unavailable	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Unavailable.	አይገኝም።	Hin argamu.	ኣይርከብን።	Lama heli karo.	Haipatikani.	
admin.just_now	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	just now	አሁን	amma	ሕጂ	hadda	sasa hivi	
admin.n_min_ago	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} min ago	ከ{n} ደቂቃ በፊት	daqiiqaa {n} dura	ቅድሚ {n} ደቒቕ	{n} daqiiqo ka hor	dakika {n} zilizopita	
admin.n_h_ago	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} h ago	ከ{n} ሰዓት በፊት	sa'aatii {n} dura	ቅድሚ {n} ሰዓት	{n} saac ka hor	saa {n} zilizopita	
admin.n_d_ago	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	{n} d ago	ከ{n} ቀን በፊት	guyyaa {n} dura	ቅድሚ {n} መዓልቲ	{n} maalmood ka hor	siku {n} zilizopita	
admin.channel_all_from	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	All {n} conversations came from {label}.	ሁሉም {n} ውይይቶች ከ{label} መጥተዋል።	Mariin {n} hundi {label} irraa dhufe.	ኩሎም {n} ዝርርባት ካብ {label} መጺኦም።	Dhammaan {n} wadahadal waxay ka yimaadeen {label}.	Mazungumzo yote {n} yalitoka {label}.	
admin.channel_live	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Live	በሥራ ላይ	Hojiirra	ኣብ ስራሕ	Shaqeynaya	Moja kwa Moja	
admin.channel_ready	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Ready to connect	ለመገናኘት ዝግጁ	Walqunnamuuf qophaa'aa	ንምርኻብ ድሉው	Diyaar u ah xiriirka	Tayari Kuunganishwa	
admin.channel_needs_setup	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Needs setup	ማዋቀር ይፈልጋል	Qindeessuu barbaada	ምድላው የድልዮ	Waxay u baahan tahay dejin	Inahitaji Kusanidiwa	
admin.share_by_channel	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Share of conversations by channel	በመስመር የተከፋፈሉ ውይይቶች ድርሻ	Qooda marii karaa tokkoon tokkoon isaanii	ብመስመር ዝተኸፋፈለ ግደ ዝርርባት	Qaybta wadahadallada kanaalka	Mgawanyo wa Mazungumzo kwa Njia	
admin.up_to_date	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Up to date	የተዘመነ	Haaraa	ዝተሓደሰ	La cusbooneysiiyay	Ni ya Hivi Karibuni	
admin.updated_m_ago	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Updated {n}m ago	ከ{n} ደቂቃ በፊት ተዘምኗል	Daqiiqaa {n} dura haaromfame	ቅድሚ {n} ደቒቕ ተሓዲሱ	La cusbooneysiiyay {n}daq ka hor	Imesasishwa dakika {n} zilizopita	
admin.updated_h_ago	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Updated {n}h ago	ከ{n} ሰዓት በፊት ተዘምኗል	Sa'aatii {n} dura haaromfame	ቅድሚ {n} ሰዓት ተሓዲሱ	La cusbooneysiiyay {n}saac ka hor	Imesasishwa saa {n} zilizopita	
admin.queue	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Queue	ወረፋ	Sararaa	ሪጋ	Safka	Foleni	
admin.collapse	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Collapse	አጥብብ	Xiqqeessi	ኣጽብብ	Yaree	Kunja	
admin.expand	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Expand	አስፋ	Balleessi	ኣስፍሕ	Balaadhi	Panua	
admin.collapse_or_expand	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Collapse or expand the sidebar	የጎን አሞሌውን አጥብብ ወይም አስፋ	Cinaacha xiqqeessi ykn balleessi	ናይ ጎኒ መስመር ኣጽብብ ወይ ኣስፍሕ	Yaree ama balaadhi dhinaca	Kunja au panua upande wa kando	
admin.show_hide_channels	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Show or hide the channel list	የመስመሮችን ዝርዝር አሳይ ወይም ደብቅ	Tarreeffama karaalee agarsiisi ykn dhoksi	ዝርዝር መስመራት ኣርኢ ወይ ሕባእ	Muuji ama qari liiska kanaalada	Onyesha au ficha orodha ya njia	
admin.today	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Today	ዛሬ	Har'a	ሎሚ	Maanta	Leo	
admin.yesterday	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Yesterday	ትናንት	Kaleessa	ትማሊ	Shalay	Jana	
admin.call_started	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	The customer asked for a person here	ደንበኛው እዚህ ላይ ሰው ጠየቀ	Maamilaan asitti nama gaafate	እቲ ዓሚል ኣብዚ ሰብ ሓቲቱ	Macmiilku halkan ayuu qof weydiistay	Mteja aliomba mtu hapa	
admin.no_messages	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	No messages in this conversation.	በዚህ ውይይት ውስጥ መልእክት የለም።	Marii kana keessa ergaan hin jiru.	ኣብዚ ዝርርብ መልእኽቲ የለን።	Wadahadalkan fariin kuma jirto.	Hakuna ujumbe katika mazungumzo haya.	
admin.donut_all_in_one	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	The single {unit} was in {label}.	ብቸኛው {unit} በ{label} ነበር።	{unit} tokkichi {label} keessa ture.	እቲ ሓደ {unit} ብ{label} ነይሩ።	{unit} kaliya wuxuu ku jiray {label}.	{unit} pekee ilikuwa katika {label}.	
admin.channel_all_from_one	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	The single conversation came from {label}.	ብቸኛው ውይይት ከ{label} መጥቷል።	Mariin tokkichi {label} irraa dhufe.	እቲ ሓደ ዝርርብ ካብ {label} መጺኡ።	Wadahadalka kaliya wuxuu ka yimid {label}.	Mazungumzo pekee yalitoka {label}.	
admin.unit_conversation	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	conversation	ውይይት	marii	ዝርርብ	wadahadal	mazungumzo	
admin.live_sessions	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Live sessions	የቀጥታ ክፍለ-ጊዜዎች	Marii kallattii	ቀጥታ ክፍለ-ግዜታት	Kalfadhiyada tooska ah	Vikao vya Moja kwa Moja	
admin.switched_off_for_bank	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Switched off for this bank	ለዚህ ባንክ ጠፍቷል	Baankii kanaaf dhaamsameera	ነዚ ባንኪ ጠፊኡ	Bangigan waa la damiyay	Vimezimwa kwa Benki Hii	
admin.switched_on_nobody_on_duty	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Switched on — but nobody is on duty	በርቷል — ግን ማንም በሥራ ላይ የለም	Banameera — garuu namni hojii irra hin jiru	በሪሁ — ግና ዋላ ሓደ ኣብ ስራሕ የለን	Waa la shiday — laakiin qofna shaqada ma joogo	Vimewashwa — lakini hakuna aliye kazini	
admin.no_teller_button	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	No “Speak to a teller” button appears in your widget.	በመግብርዎ ውስጥ “ከገንዘብ ተቀባይ ጋር ይነጋገሩ” የሚል አዝራር አይታይም።	Widjetii keessan keessatti qabduun “Namaa waliin haasa'aa” hin mul'atu.	ኣብ መግበሪኹም “ምስ ተቐባሊ ገንዘብ ተዛረቡ” ዝብል መጠወቒ ኣይረአን።	Badhanka “La hadal shaqaale” kama muuqan widget-kaaga.	Hakuna kitufe cha "Zungumza na Afisa" kinachoonekana kwenye kidirisha chako.	
admin.on_duty_explainer	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	You are on duty, so waiting customers can be routed to you. Go off duty from the sidebar when you step away — you stay on the air anywhere in the console until you do.	በሥራ ላይ ነዎት፤ ስለዚህ የሚጠብቁ ደንበኞች ወደ እርስዎ ሊመሩ ይችላሉ። ሲርቁ ከጎን አሞሌው ከሥራ ውጡ — እስከዚያ ድረስ በየትኛውም ገጽ ላይ በሥራ ላይ ይቆያሉ።	Hojii irra jirtu, kanaafuu maamiltoonni eegaa jiran gara keessan qajeelfamuu danda'u. Yeroo achii deemtan cinaacha irraa hojii keessaa ba'aa — hanga sanatti fuula kamiyyuu irratti hojii irra turtu.	ኣብ ስራሕ ኢኹም፣ ስለዚ ዝጽበዩ ዓማዊል ናባኹም ክምርሑ ይኽእሉ። ክትርሕቁ ከለኹም ካብ ናይ ጎኒ መስመር ካብ ስራሕ ውጹ — ክሳብ ሽዑ ኣብ ዝኾነ ገጽ ኣብ ስራሕ ትጸንሑ።	Shaqada ayaad joogtaa, sidaas darteed macaamiisha sugaya waa lagu soo dhiibi karaa. Marka aad tagto shaqada ka bax dhinaca — ilaa markaas bog kasta ayaad ku sii shaqeynaysaa.	Upo kazini, kwa hivyo wateja wanaosubiri wanaweza kuelekezwa kwako. Toka kazini kutoka upande wa kando unapoondoka — unabaki kwenye mtandao popote kwenye paneli mpaka utakapofanya hivyo.	
admin.off_duty_explainer	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Switch On duty in the sidebar to start taking calls. It follows you across every page, so you no longer have to keep this one open.	ጥሪዎችን መቀበል ለመጀመር ከጎን አሞሌው “በሥራ ላይ” ያብሩ። በሁሉም ገጽ ላይ ይከተልዎታል፤ ስለዚህ ይህን ገጽ ክፍት ማድረግ አያስፈልግም።	Bilbila fudhachuu jalqabuuf cinaacha irraa “Hojii irra” banaa. Fuula hunda irratti isin hordofa, kanaafuu fuula kana banaa gochuun hin barbaachisu.	ጻውዒታት ክትቅበሉ ንምጅማር ካብ ናይ ጎኒ መስመር “ኣብ ስራሕ” ኣብርሁ። ኣብ ኩሉ ገጽ ይስዕበኩም፣ ስለዚ ነዚ ገጽ ክፉት ምግባር ኣየድልን።	Si aad u bilowdo qaadista wicitaannada, dhinaca ka shid “Shaqada”. Bog kasta ayuu kula socdaa, sidaas darteed uma baahnid inaad tan furan ka tagto.	Washa Kazini kwenye upande wa kando ili kuanza kupokea simu. Inakufuata kwenye kila ukurasa, hivyo huhitaji tena kuweka huu wazi.	
admin.colleague_must_be_on_duty	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	A colleague with permission to take calls has to be on duty before customers are offered one.	ጥሪ የመቀበል ፈቃድ ያለው ባልደረባ በሥራ ላይ መሆን አለበት፤ ከዚያ በፊት ለደንበኞች አይቀርብም።	Hojjetaan hayyama bilbila fudhachuu qabu hojii irra jiraachuu qaba, sana dura maamiltootaaf hin dhiyaatu.	ጻውዒት ናይ ምቕባል ፍቓድ ዘለዎ መሳርሕቲ ኣብ ስራሕ ክህሉ ኣለዎ፣ ቅድሚኡ ንዓማዊል ኣይቀርብን።	Shaqaale haysta ogolaanshaha qaadista wicitaannada waa inuu shaqada joogaa ka hor inta aan macaamiisha la siin.	Mwenzako mwenye ruhusa ya kupokea simu lazima awe kazini kabla wateja hawajapewa fursa hiyo.	
admin.i_can_converse_in	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	I can hold a conversation in:	በእነዚህ ቋንቋዎች መነጋገር እችላለሁ፦	Afaanota kanneeniin haasa'uu nan danda'a:	በዞም ቋንቋታት ክዛረብ እኽእል፦	Waxaan ku hadli karaa:	Ninaweza kufanya mazungumzo kwa:	
admin.languages_picked_note	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Customers writing in these reach you first. Everyone else still reaches you — after a short wait, so nobody is stranded.	በእነዚህ ቋንቋዎች የሚጽፉ ደንበኞች መጀመሪያ ወደ እርስዎ ይደርሳሉ። ሌሎችም ይደርሳሉ — ከአጭር ጥበቃ በኋላ፤ ማንም አይቀርም።	Maamiltoonni afaanota kanaan barreessan jalqaba isin bira ga'u. Kaan hundinuu ammas isin bira ga'u — eegumsa gabaabaa booda, namni hafu hin jiru.	በዞም ቋንቋታት ዝጽሕፉ ዓማዊል ቅድም ናባኹም ይበጽሑ። እቶም ካልኦት እውን ይበጽሑ — ድሕሪ ሓጺር ጽበት፣ ዋላ ሓደ ኣይተርፍን።	Macaamiisha ku qora kuwan ayaa marka hore kugu soo gaara. Qof kastana wuu ku soo gaari doonaa — sug gaaban ka dib, sidaas qofna ma harayo.	Wateja wanaoandika kwa lugha hizi wanakufikia kwanza. Kila mtu mwingine bado anakufikia — baada ya kusubiri kidogo, ili asibaki bila msaada.	
admin.languages_none_note	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Nothing selected, so every waiting customer is offered to you in plain oldest-first order.	ምንም አልተመረጠም፤ ስለዚህ እያንዳንዱ የሚጠብቅ ደንበኛ በቀላል ቀዳሚ-መጀመሪያ ቅደም ተከተል ይቀርብልዎታል።	Wanti filatame hin jiru, kanaafuu maamilli eegaa jiru hundi tartiiba dursaa-jalqabaatiin isinii dhiyaata.	ዋላ ሓደ ኣይተመርጸን፣ ስለዚ ነፍስ ወከፍ ዝጽበ ዓሚል ብቐሊል ናይ ቀዳምነት ስርዓት ይቐርበልኩም።	Waxba lama dooran, sidaas darteed macmiil kasta oo sugaya waxaa laguu soo bandhigayaa sida caadiga ah ee ugu horreeya.	Hakuna kilichochaguliwa, kwa hivyo kila mteja anayesubiri anapewa kwako kwa mpangilio wa zamani zaidi kwanza.	
admin.languages_updated	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Languages updated	ቋንቋዎች ተዘምነዋል	Afaanonni haaromfaman	ቋንቋታት ተሓዲሶም	Luqadaha waa la cusbooneysiiyay	Lugha Zimesasishwa	
admin.media_video	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Video	ቪዲዮ	Viidiyoo	ቪድዮ	Fiidyow	Vidio	
admin.media_audio	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Audio	ድምፅ	Sagalee	ድምጺ	Cod	Sauti	
admin.not_your_language	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	not your language	የእርስዎ ቋንቋ አይደለም	afaan keessanii miti	ናትኩም ቋንቋ ኣይኮነን	ma aha luqaddaada	si lugha yako	
admin.languages_first_note	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Your languages first, longest wait within each. Anyone waiting too long moves to the top whatever they speak.	የእርስዎ ቋንቋዎች መጀመሪያ፤ በእያንዳንዱ ውስጥ ረጅም የጠበቀው ይቀድማል። ከልክ በላይ የጠበቀ ማንኛውም ሰው የሚናገረው ምንም ይሁን ወደ ላይ ይወጣል።	Afaanonni keessan jalqaba, tokkoon tokkoon isaanii keessatti kan yeroo dheeraa eege dursa. Namni baay'ee eege afaan kamiyyuu haa dubbatu gara oliitti deema.	ቋንቋታትኩም ቅድም፣ ኣብ ነፍስ ወከፍ እቲ ነዊሕ ዝጸንሐ ይቐድም። ካብ ንቡር ንላዕሊ ዝጸንሐ ዝኾነ ሰብ ዝዛረቦ ብዘየገድስ ናብ ላዕሊ ይመጽእ።	Luqadahaaga marka hore, kii ugu sugay dheeraa mid kasta gudahood. Qof kasta oo aad u sugay ayaa kor u kaca luqad kastoo uu ku hadloba.	Lugha zako kwanza, aliyesubiri kwa muda mrefu zaidi ndani ya kila moja. Yeyote anayesubiri kwa muda mrefu sana anapanda juu bila kujali anazungumza lugha gani.	
admin.my_desks	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	I can handle these desks:	እነዚህን ዴስኮች ማስተናገድ እችላለሁ፦	Deeskiiwwan kanneen keessummeessuu nan danda'a:	ነዞም ዴስክታት ከተኣናግድ እኽእል፦	Waxaan qaban karaa miisaskan:	Ninaweza kushughulikia madawati haya:	
admin.desks_picked_note	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Questions about these desks reach you first. Everything else still reaches you — after a short wait, so nobody is stranded.	ስለ እነዚህ ዴስኮች የሚነሱ ጥያቄዎች መጀመሪያ ወደ እርስዎ ይደርሳሉ። ሌላው ሁሉ አሁንም ይደርሳል — ከአጭር ጥበቃ በኋላ፤ ማንም አይቀርም።	Gaaffiiwwan waa'ee deeskiiwwan kanaa jalqaba isin bira ga'u. Kaan hundinuu ammas isin bira ga'a — eegumsa gabaabaa booda, namni hafu hin jiru.	ብዛዕባ እዞም ዴስክታት ዝለዓሉ ሕቶታት ቅድም ናባኹም ይበጽሑ። ካልእ ኩሉ እውን ይበጽሕ — ድሕሪ ሓጺር ጽበት፣ ዋላ ሓደ ኣይተርፍን።	Su'aalaha ku saabsan miisaskan ayaa marka hore kugu soo gaara. Wax kastoo kalena wuu ku soo gaaraa — sug gaaban ka dib, sidaas qofna ma harayo.	Maswali kuhusu madawati haya yanakufikia kwanza. Mengine yote bado yanakufikia — baada ya kusubiri kidogo, ili asibaki mtu bila msaada.	
admin.desks_none_note	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Nothing selected, so desk topics do not change your queue order.	ምንም አልተመረጠም፤ ስለዚህ የዴስክ ርዕሶች የወረፋዎን ቅደም ተከተል አይለውጡም።	Wanti filatame hin jiru, kanaafuu mata-dureewwan deeskii tartiiba sarara keessanii hin jijjiiran.	ዋላ ሓደ ኣይተመርጸን፣ ስለዚ ኣርእስታት ዴስክ ስርዓት ሰልፍኹም ኣይልውጡን።	Waxba lama dooran, sidaas darteed mowduucyada miisasku ma beddelaan kala horreynta safkaaga.	Hakuna kilichochaguliwa, kwa hivyo mada za madawati hazibadilishi mpangilio wa foleni yako.	
admin.desks_first_note	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Your desks first, longest wait within each. Anyone waiting too long moves to the top whatever they ask about.	የእርስዎ ዴስኮች መጀመሪያ፤ በእያንዳንዱ ውስጥ ረጅም የጠበቀው ይቀድማል። ከልክ በላይ የጠበቀ ማንኛውም ሰው ስለ ምንም ይጠይቅ ወደ ላይ ይወጣል።	Deeskiiwwan keessan jalqaba, tokkoon tokkoon isaanii keessatti kan yeroo dheeraa eege dursa. Namni baay'ee eege waan kamiyyuu haa gaafatu gara oliitti deema.	ዴስክታትኩም ቅድም፣ ኣብ ነፍስ ወከፍ እቲ ነዊሕ ዝጸንሐ ይቐድም። ካብ ንቡር ንላዕሊ ዝጸንሐ ዝኾነ ሰብ ብዛዕባ እንታይ ይሓትት ብዘየገድስ ናብ ላዕሊ ይመጽእ።	Miisaskaaga marka hore, kii ugu sugay dheeraa mid kasta gudahood. Qof kasta oo aad u sugay ayaa kor u kaca wax kastoo uu weydiinayoba.	Madawati yako kwanza, aliyesubiri kwa muda mrefu zaidi ndani ya kila moja. Yeyote anayesubiri kwa muda mrefu sana anapanda juu bila kujali anauliza nini.	
admin.routing_first_note	Bank staff, not customers. Keep it short — it has to fit the same space as the English. Leave any {placeholder} exactly as it is; it is replaced with a number or a name.	Your languages first, your desks within them, longest wait within each. Anyone waiting too long moves to the top.	የእርስዎ ቋንቋዎች መጀመሪያ፣ በውስጣቸው የእርስዎ ዴስኮች፣ በእያንዳንዱ ውስጥ ረጅም የጠበቀው ይቀድማል። ከልክ በላይ የጠበቀ ወደ ላይ ይወጣል።	Afaanonni keessan jalqaba, isaan keessatti deeskiiwwan keessan, tokkoon tokkoon keessatti kan yeroo dheeraa eege dursa. Namni baay'ee eege gara oliitti deema.	ቋንቋታትኩም ቅድም፣ ኣብ ውሽጦም ዴስክታትኩም፣ ኣብ ነፍስ ወከፍ እቲ ነዊሕ ዝጸንሐ ይቐድም። ካብ ንቡር ንላዕሊ ዝጸንሐ ናብ ላዕሊ ይመጽእ።	Luqadahaaga marka hore, miisaskaaga gudahood, kii ugu sugay dheeraa mid kasta gudahood. Qof aad u sugay ayaa kor u kaca.	Lugha zako kwanza, madawati yako ndani yake, aliyesubiri kwa muda mrefu zaidi ndani ya kila moja. Anayesubiri kwa muda mrefu sana anapanda juu.	
